"","iso_ref","gene_ref","isoform_id","gene_id","condition_1","condition_2","gene_name","gene_biotype","iso_biotype","gene_overall_mean","gene_value_1","gene_value_2","gene_stderr_1","gene_stderr_2","gene_log2_fold_change","gene_q_value","iso_overall_mean","iso_value_1","iso_value_2","iso_stderr_1","iso_stderr_2","iso_log2_fold_change","iso_q_value","IF_overall","IF1","IF2","dIF","isoform_switch_q_value","gene_switch_q_value","PTC"
"21064","isoComp_00002320","geneComp_00000804","ENST00000558793.1","ACSBG1","d","f","ACSBG1","protein_coding","processed_transcript",15.060337363557,14.090997458344,16.0296772687701,5.14888999040955,1.01937031590313,0.185847896145881,NA,0.208859227284951,0.163791617224293,0.253926837345609,0.163791617224293,0.127682968533521,0.6027795623109,NA,0.0119166666666667,0.0083,0.0155333333333333,0.00723333333333333,0.905798566220943,0.045735171038798,NA
"21065","isoComp_00002321","geneComp_00000804","ENST00000559114.5","ACSBG1","d","f","ACSBG1","protein_coding","protein_coding",15.060337363557,14.090997458344,16.0296772687701,5.14888999040955,1.01937031590313,0.185847896145881,NA,0.801143200406194,1.30705710544986,0.295229295362529,1.30705710544986,0.295229295362529,-2.10935255863324,NA,0.0412333333333333,0.0661,0.0163666666666667,-0.0497333333333333,0.989151802424054,0.045735171038798,FALSE
"21066","isoComp_00002322","geneComp_00000804","ENST00000559241.5","ACSBG1","d","f","ACSBG1","protein_coding","protein_coding",15.060337363557,14.090997458344,16.0296772687701,5.14888999040955,1.01937031590313,0.185847896145881,NA,0.289830162078287,0,0.579660324156575,0,0.190084621131888,5.88181221923502,NA,0.01865,0,0.0373,0.0373,0.362175203893911,0.045735171038798,FALSE
"21067","isoComp_00002323","geneComp_00000804","ENST00000559707.5","ACSBG1","d","f","ACSBG1","protein_coding","nonsense_mediated_decay",15.060337363557,14.090997458344,16.0296772687701,5.14888999040955,1.01937031590313,0.185847896145881,NA,1.24593546845616,0.47499568995045,2.01687524696187,0.47499568995045,0.136654621146757,2.06321346290705,NA,0.0753166666666667,0.0240333333333333,0.1266,0.102566666666667,0.538838020407052,0.045735171038798,TRUE
"21069","isoComp_00002325","geneComp_00000804","ENST00000560124.5","ACSBG1","d","f","ACSBG1","protein_coding","nonsense_mediated_decay",15.060337363557,14.090997458344,16.0296772687701,5.14888999040955,1.01937031590313,0.185847896145881,NA,4.29972085725736,8.59944171451471,0,5.30137278971835,0,-9.74977587782483,NA,0.2264,0.4528,0,-0.4528,0.456225331028013,0.045735171038798,TRUE
"21070","isoComp_00002326","geneComp_00000804","ENST00000560183.1","ACSBG1","d","f","ACSBG1","protein_coding","retained_intron",15.060337363557,14.090997458344,16.0296772687701,5.14888999040955,1.01937031590313,0.185847896145881,NA,0.357109370915466,0.127757461434949,0.586461280395984,0.127757461434949,0.294238192106051,2.11429802522104,NA,0.02135,0.00646666666666667,0.0362333333333333,0.0297666666666667,0.831114071431949,0.045735171038798,NA
"21071","isoComp_00002327","geneComp_00000804","ENST00000560817.5","ACSBG1","d","f","ACSBG1","protein_coding","protein_coding",15.060337363557,14.090997458344,16.0296772687701,5.14888999040955,1.01937031590313,0.185847896145881,NA,4.04243950964741,0.183446611291208,7.90143240800362,0.183446611291208,0.418561599819855,5.35393156450949,NA,0.254083333333333,0.00926666666666667,0.4989,0.489633333333333,0.045735171038798,0.045735171038798,FALSE
"2576","isoComp_00005399","geneComp_00001347","ENST00000251089.8","ANGEL1","d","f","ANGEL1","protein_coding","protein_coding",9.28875822285826,8.72268642528141,9.85483002043512,2.13464126493606,0.770162285787974,0.17586865569326,NA,6.99402441878568,7.22294674179883,6.76510209577253,1.6539782547862,0.267683569882308,-0.094340841758882,NA,0.766266666666667,0.838133333333333,0.6944,-0.143733333333333,0.85800655567286,0.0355920821907998,FALSE
"2577","isoComp_00005400","geneComp_00001347","ENST00000554941.1","ANGEL1","d","f","ANGEL1","protein_coding","processed_transcript",9.28875822285826,8.72268642528141,9.85483002043512,2.13464126493606,0.770162285787974,0.17586865569326,NA,0.113526693328923,0.0425858204783162,0.18446756617953,0.0425858204783162,0.18446756617953,1.88678381767203,NA,0.0108333333333333,0.00326666666666667,0.0184,0.0151333333333333,1,0.0355920821907998,NA
"2578","isoComp_00005401","geneComp_00001347","ENST00000555079.1","ANGEL1","d","f","ANGEL1","protein_coding","protein_coding",9.28875822285826,8.72268642528141,9.85483002043512,2.13464126493606,0.770162285787974,0.17586865569326,NA,1.00641265379202,0,2.01282530758404,0,0.593174387902521,7.66022792303498,NA,0.0986833333333333,0,0.197366666666667,0.197366666666667,0.0355920821907998,0.0355920821907998,FALSE
"2579","isoComp_00005402","geneComp_00001347","ENST00000556298.1","ANGEL1","d","f","ANGEL1","protein_coding","protein_coding",9.28875822285826,8.72268642528141,9.85483002043512,2.13464126493606,0.770162285787974,0.17586865569326,NA,0.289673239764862,0.3243074021041,0.255039077425623,0.3243074021041,0.0431430558491681,-0.334970212235891,NA,0.0259333333333333,0.0249666666666667,0.0269,0.00193333333333334,0.874252619107857,0.0355920821907998,FALSE
"2580","isoComp_00005403","geneComp_00001347","ENST00000557179.5","ANGEL1","d","f","ANGEL1","protein_coding","protein_coding",9.28875822285826,8.72268642528141,9.85483002043512,2.13464126493606,0.770162285787974,0.17586865569326,NA,0.8252199105906,1.08043314338838,0.570006677792819,0.556990117036674,0.234728620804837,-0.910759902571203,NA,0.09325,0.1296,0.0569,-0.0727,0.959601126813503,0.0355920821907998,FALSE
"97045","isoComp_00005838","geneComp_00001424","ENST00000258459.11","ANKRD36B","d","f","ANKRD36B","protein_coding","protein_coding",12.9124684062796,20.8018586625961,5.02307814996314,6.85718481378185,0.354694015260345,-2.04789291059951,NA,2.21119246322223,2.27152220358797,2.15086272285649,0.848104365057186,0.114420083992895,-0.0783892717037542,NA,0.292633333333333,0.149866666666667,0.4354,0.285533333333333,0.651055025039679,0.026000725680621,FALSE
"97046","isoComp_00005839","geneComp_00001424","ENST00000419390.2","ANKRD36B","d","f","ANKRD36B","protein_coding","nonsense_mediated_decay",12.9124684062796,20.8018586625961,5.02307814996314,6.85718481378185,0.354694015260345,-2.04789291059951,NA,0.129330235937851,0.163791617224293,0.0948688546514083,0.163791617224293,0.0484570484281957,-0.72877222520883,NA,0.0190166666666667,0.0191333333333333,0.0189,-0.000233333333333332,0.85082218788346,0.026000725680621,TRUE
"97047","isoComp_00005840","geneComp_00001424","ENST00000443455.5","ANKRD36B","d","f","ANKRD36B","protein_coding","nonsense_mediated_decay",12.9124684062796,20.8018586625961,5.02307814996314,6.85718481378185,0.354694015260345,-2.04789291059951,NA,0.230782299515958,0.240766223844409,0.220798375187506,0.198194001507254,0.0542328799681719,-0.119709974528231,NA,0.0284333333333333,0.0132333333333333,0.0436333333333333,0.0304,0.734078022983907,0.026000725680621,TRUE
"97048","isoComp_00005841","geneComp_00001424","ENST00000488634.2","ANKRD36B","d","f","ANKRD36B","protein_coding","retained_intron",12.9124684062796,20.8018586625961,5.02307814996314,6.85718481378185,0.354694015260345,-2.04789291059951,NA,0.683183183373269,1.04867397282382,0.317692393922721,0.527436045695763,0.317692393922721,-1.69184427622342,NA,0.0777166666666667,0.0832333333333333,0.0722,-0.0110333333333333,0.892104105493366,0.026000725680621,NA
"97049","isoComp_00005842","geneComp_00001424","ENST00000497329.6","ANKRD36B","d","f","ANKRD36B","protein_coding","protein_coding",12.9124684062796,20.8018586625961,5.02307814996314,6.85718481378185,0.354694015260345,-2.04789291059951,NA,3.99857024786399,5.75828469238297,2.23885580334501,2.07110529493851,0.724047708699032,-1.3589512117606,NA,0.35025,0.270666666666667,0.429833333333333,0.159166666666667,0.896868043595238,0.026000725680621,FALSE
"97050","isoComp_00005843","geneComp_00001424","ENST00000615794.1","ANKRD36B","d","f","ANKRD36B","protein_coding","retained_intron",12.9124684062796,20.8018586625961,5.02307814996314,6.85718481378185,0.354694015260345,-2.04789291059951,NA,5.65940997636634,11.3188199527327,0,6.60824815307524,0,-10.1457818777708,NA,0.231933333333333,0.463866666666667,0,-0.463866666666667,0.026000725680621,0.026000725680621,NA
"90266","isoComp_00006176","geneComp_00001481","ENST00000332680.8","ANXA2","d","f","ANXA2","protein_coding","protein_coding",633.120031672197,681.879133747911,584.360929596484,124.129447437596,8.44954230709872,-0.222652784066964,NA,37.305375771837,71.2574042863363,3.35334725733773,70.5069368348699,1.90888763152736,-4.40527273285244,NA,0.08255,0.159366666666667,0.00573333333333333,-0.153633333333333,0.968626074579754,0.0462163295403898,FALSE
"90268","isoComp_00006178","geneComp_00001481","ENST00000421017.6","ANXA2","d","f","ANXA2","protein_coding","protein_coding",633.120031672197,681.879133747911,584.360929596484,124.129447437596,8.44954230709872,-0.222652784066964,NA,197.766115789406,159.196301277684,236.335930301127,88.3041968682321,4.69613758103119,0.57000258488349,NA,0.30495,0.2051,0.4048,0.1997,0.856550401742468,0.0462163295403898,FALSE
"90269","isoComp_00006179","geneComp_00001481","ENST00000451270.7","ANXA2","d","f","ANXA2","protein_coding","protein_coding",633.120031672197,681.879133747911,584.360929596484,124.129447437596,8.44954230709872,-0.222652784066964,NA,295.753580210483,324.595116427323,266.912043993643,177.352360823458,13.5772927602517,-0.28226728318188,NA,0.428166666666667,0.4,0.456333333333333,0.0563333333333333,0.97162716699538,0.0462163295403898,FALSE
"90277","isoComp_00006187","geneComp_00001481","ENST00000558985.6","ANXA2","d","f","ANXA2","protein_coding","protein_coding",633.120031672197,681.879133747911,584.360929596484,124.129447437596,8.44954230709872,-0.222652784066964,NA,28.7631032960702,57.5262065921403,0,45.9864472921304,0,-12.4902543908433,NA,0.0602333333333333,0.120466666666667,0,-0.120466666666667,0.0462163295403898,0.0462163295403898,FALSE
"90280","isoComp_00006190","geneComp_00001481","ENST00000559113.6","ANXA2","d","f","ANXA2","protein_coding","protein_coding",633.120031672197,681.879133747911,584.360929596484,124.129447437596,8.44954230709872,-0.222652784066964,NA,11.2685575284982,20.9589797630848,1.57813529391166,20.6501870700649,0.52693977007578,-3.72285094279554,NA,0.0247333333333333,0.0468,0.00266666666666667,-0.0441333333333333,0.940375200040438,0.0462163295403898,FALSE
"90281","isoComp_00006191","geneComp_00001481","ENST00000559176.5","ANXA2","d","f","ANXA2","protein_coding","protein_coding",633.120031672197,681.879133747911,584.360929596484,124.129447437596,8.44954230709872,-0.222652784066964,NA,7.02775123407081,6.79986741610769,7.25563505203394,4.88869791924171,1.62446624945089,0.0934621918372121,NA,0.01065,0.00896666666666667,0.0123333333333333,0.00336666666666667,0.872960025281781,0.0462163295403898,NA
"90292","isoComp_00006202","geneComp_00001481","ENST00000560936.2","ANXA2","d","f","ANXA2","protein_coding","processed_transcript",633.120031672197,681.879133747911,584.360929596484,124.129447437596,8.44954230709872,-0.222652784066964,NA,13.0023778233049,3.14069806287461,22.8640575837353,1.70628756133808,0.73621343884819,2.85996889526144,NA,0.0216,0.00403333333333333,0.0391666666666667,0.0351333333333333,0.513490028649068,0.0462163295403898,NA
"46167","isoComp_00008194","geneComp_00001854","ENST00000389707.8","ARNTL","d","f","ARNTL","protein_coding","protein_coding",12.0078880214981,11.7826505313837,12.2331255116125,6.36858952862436,0.730279368040134,0.0540838896695718,NA,0.768245240800197,0.592925654351941,0.943564827248452,0.592925654351941,0.487396460769714,0.661350905165411,NA,0.0645166666666667,0.0563333333333333,0.0727,0.0163666666666667,0.897007716268133,0.0314738519684776,FALSE
"46168","isoComp_00008195","geneComp_00001854","ENST00000401424.6","ARNTL","d","f","ARNTL","protein_coding","protein_coding",12.0078880214981,11.7826505313837,12.2331255116125,6.36858952862436,0.730279368040134,0.0540838896695718,NA,0.273993353387106,0,0.547986706774213,0,0.274014855396028,5.8021588472297,NA,0.0235,0,0.047,0.047,0.607673232568363,0.0314738519684776,FALSE
"46169","isoComp_00008196","geneComp_00001854","ENST00000403290.6","ARNTL","d","f","ARNTL","protein_coding","protein_coding",12.0078880214981,11.7826505313837,12.2331255116125,6.36858952862436,0.730279368040134,0.0540838896695718,NA,0.986584724741314,1.05708475642157,0.916084693061056,0.618616971550271,0.916084693061056,-0.204458727945227,NA,0.0836,0.0825,0.0847,0.00220000000000001,0.785186920439722,0.0314738519684776,FALSE
"46171","isoComp_00008198","geneComp_00001854","ENST00000403510.8","ARNTL","d","f","ARNTL","protein_coding","protein_coding",12.0078880214981,11.7826505313837,12.2331255116125,6.36858952862436,0.730279368040134,0.0540838896695718,NA,0.705937123418015,0.592925654351941,0.818948592484088,0.592925654351941,0.780757034995844,0.459302518260608,NA,0.0591333333333333,0.0563333333333333,0.0619333333333333,0.00559999999999999,0.999537449696489,0.0314738519684776,FALSE
"46172","isoComp_00008199","geneComp_00001854","ENST00000472842.1","ARNTL","d","f","ARNTL","protein_coding","retained_intron",12.0078880214981,11.7826505313837,12.2331255116125,6.36858952862436,0.730279368040134,0.0540838896695718,NA,0.248554244762584,0.177889130498995,0.319219359026173,0.0904008023447642,0.0270840373853165,0.80916756440598,NA,0.0194,0.0127333333333333,0.0260666666666667,0.0133333333333333,0.934658414592823,0.0314738519684776,NA
"46173","isoComp_00008200","geneComp_00001854","ENST00000485918.2","ARNTL","d","f","ARNTL","protein_coding","retained_intron",12.0078880214981,11.7826505313837,12.2331255116125,6.36858952862436,0.730279368040134,0.0540838896695718,NA,0.415393653652618,0.0818958086121465,0.74889149869309,0.0818958086121465,0.584234754703464,3.04582266685985,NA,0.0323666666666667,0.00776666666666667,0.0569666666666667,0.0492,0.874234713253936,0.0314738519684776,NA
"46174","isoComp_00008201","geneComp_00001854","ENST00000497429.5","ARNTL","d","f","ARNTL","protein_coding","processed_transcript",12.0078880214981,11.7826505313837,12.2331255116125,6.36858952862436,0.730279368040134,0.0540838896695718,NA,0.187714436826872,0,0.375428873653744,0,0.259034012075415,5.26839274725983,NA,0.01665,0,0.0333,0.0333,0.697267378357314,0.0314738519684776,NA
"46175","isoComp_00008202","geneComp_00001854","ENST00000524392.5","ARNTL","d","f","ARNTL","protein_coding","nonsense_mediated_decay",12.0078880214981,11.7826505313837,12.2331255116125,6.36858952862436,0.730279368040134,0.0540838896695718,NA,0.566183607166952,0.58627302786071,0.546094186473194,0.434329150484887,0.389252895805816,-0.100643823602965,NA,0.1932,0.3436,0.0428,-0.3008,0.989151802424054,0.0314738519684776,TRUE
"46176","isoComp_00008203","geneComp_00001854","ENST00000527998.5","ARNTL","d","f","ARNTL","protein_coding","protein_coding",12.0078880214981,11.7826505313837,12.2331255116125,6.36858952862436,0.730279368040134,0.0540838896695718,NA,0.148226446766963,0,0.296452893533926,0,0.184645431649099,4.9375934216974,NA,0.0115833333333333,0,0.0231666666666667,0.0231666666666667,0.680397651582584,0.0314738519684776,FALSE
"46177","isoComp_00008204","geneComp_00001854","ENST00000529050.5","ARNTL","d","f","ARNTL","protein_coding","protein_coding",12.0078880214981,11.7826505313837,12.2331255116125,6.36858952862436,0.730279368040134,0.0540838896695718,NA,0.185558232967973,0,0.371116465935945,0,0.141841929504316,5.25216003526247,NA,0.0149166666666667,0,0.0298333333333333,0.0298333333333333,0.50612737342173,0.0314738519684776,FALSE
"46178","isoComp_00008205","geneComp_00001854","ENST00000529388.6","ARNTL","d","f","ARNTL","protein_coding","protein_coding",12.0078880214981,11.7826505313837,12.2331255116125,6.36858952862436,0.730279368040134,0.0540838896695718,NA,0.794989621519097,1.50654487695748,0.0834343660807146,1.50654487695748,0.0834343660807146,-4.02069109499204,NA,0.0355,0.0644,0.0066,-0.0578,0.922703530350047,0.0314738519684776,FALSE
"46179","isoComp_00008206","geneComp_00001854","ENST00000529390.1","ARNTL","d","f","ARNTL","protein_coding","retained_intron",12.0078880214981,11.7826505313837,12.2331255116125,6.36858952862436,0.730279368040134,0.0540838896695718,NA,2.65329747612521,5.30659495225043,0,5.0967638546358,0,-9.05435874785638,NA,0.117116666666667,0.234233333333333,0,-0.234233333333333,0.45672078742731,0.0314738519684776,NA
"46182","isoComp_00008209","geneComp_00001854","ENST00000531665.5","ARNTL","d","f","ARNTL","protein_coding","protein_coding",12.0078880214981,11.7826505313837,12.2331255116125,6.36858952862436,0.730279368040134,0.0540838896695718,NA,0.211169890940208,0,0.422339781880417,0,0.345482900469829,5.43409368726504,NA,0.0166166666666667,0,0.0332333333333333,0.0332333333333333,0.701183288420344,0.0314738519684776,FALSE
"46184","isoComp_00008211","geneComp_00001854","ENST00000673626.1","ARNTL","d","f","ARNTL","protein_coding","nonsense_mediated_decay",12.0078880214981,11.7826505313837,12.2331255116125,6.36858952862436,0.730279368040134,0.0540838896695718,NA,1.07683329719712,0.586373989662969,1.56729260473127,0.586373989662969,0.986456930964303,1.40316107818602,NA,0.0927666666666667,0.0557,0.129833333333333,0.0741333333333333,0.876271606816444,0.0314738519684776,TRUE
"46185","isoComp_00008212","geneComp_00001854","ENST00000673817.1","ARNTL","d","f","ARNTL","protein_coding","protein_coding",12.0078880214981,11.7826505313837,12.2331255116125,6.36858952862436,0.730279368040134,0.0540838896695718,NA,0.554712681798986,0.479544079895301,0.62988128370267,0.243221825675286,0.139363390791716,0.386365498798903,NA,0.04205,0.0318,0.0523,0.0205,0.96357346091227,0.0314738519684776,FALSE
"46186","isoComp_00008213","geneComp_00001854","ENST00000673868.1","ARNTL","d","f","ARNTL","protein_coding","nonsense_mediated_decay",12.0078880214981,11.7826505313837,12.2331255116125,6.36858952862436,0.730279368040134,0.0540838896695718,NA,1.42323591508104,0,2.84647183016208,0,0.53035044107522,8.15809049225536,NA,0.116683333333333,0,0.233366666666667,0.233366666666667,0.0314738519684776,0.0314738519684776,NA
"46187","isoComp_00008214","geneComp_00001854","ENST00000673888.1","ARNTL","d","f","ARNTL","protein_coding","nonsense_mediated_decay",12.0078880214981,11.7826505313837,12.2331255116125,6.36858952862436,0.730279368040134,0.0540838896695718,NA,0.436855141083372,0.398070800822098,0.475639481344646,0.398070800822098,0.29090260013487,0.251066230660275,NA,0.0293166666666667,0.0170333333333333,0.0416,0.0245666666666667,0.937253853676966,0.0314738519684776,TRUE
"46188","isoComp_00008215","geneComp_00001854","ENST00000673892.1","ARNTL","d","f","ARNTL","protein_coding","nonsense_mediated_decay",12.0078880214981,11.7826505313837,12.2331255116125,6.36858952862436,0.730279368040134,0.0540838896695718,NA,0.170531366143746,0.203101605358123,0.137961126929368,0.203101605358123,0.137961126929368,-0.526323267672998,NA,0.01485,0.0193,0.0104,-0.0089,0.980248845625739,0.0314738519684776,TRUE
"62740","isoComp_00008498","geneComp_00001898","ENST00000281419.8","ASAP2","d","f","ASAP2","protein_coding","protein_coding",6.51434182454688,8.93723142517649,4.09145222391727,3.87601152831287,0.783092960923685,-1.12530650976802,NA,1.39050707917448,1.71172431946916,1.0692898388798,0.994498187518677,0.104217852878434,-0.673771811825436,NA,0.212083333333333,0.131733333333333,0.292433333333333,0.1607,0.867269177039644,0.045735171038798,FALSE
"62741","isoComp_00008499","geneComp_00001898","ENST00000315273.4","ASAP2","d","f","ASAP2","protein_coding","protein_coding",6.51434182454688,8.93723142517649,4.09145222391727,3.87601152831287,0.783092960923685,-1.12530650976802,NA,3.8866720035696,6.45824138251612,1.31510262462308,3.36645773328094,0.120138725635456,-2.28726942270994,NA,0.427666666666667,0.512633333333333,0.3427,-0.169933333333333,0.913652361180326,0.045735171038798,FALSE
"62743","isoComp_00008501","geneComp_00001898","ENST00000484590.1","ASAP2","d","f","ASAP2","protein_coding","retained_intron",6.51434182454688,8.93723142517649,4.09145222391727,3.87601152831287,0.783092960923685,-1.12530650976802,NA,0.360061603560902,0.678818249890098,0.0413049572317055,0.479158224346835,0.0224079238260488,-3.74695323171336,NA,0.1796,0.347166666666667,0.0120333333333333,-0.335133333333333,0.927587332840707,0.045735171038798,NA
"62744","isoComp_00008502","geneComp_00001898","ENST00000491413.1","ASAP2","d","f","ASAP2","protein_coding","processed_transcript",6.51434182454688,8.93723142517649,4.09145222391727,3.87601152831287,0.783092960923685,-1.12530650976802,NA,0.832877401591341,0,1.66575480318268,0,0.878442651598543,7.38866725879344,NA,0.1764,0,0.3528,0.3528,0.045735171038798,0.045735171038798,NA
